C:\Users\nicfl\Desktop\Project\venv\Scripts\python.exe C:/Users/nicfl/Desktop/Project/main_clstm_twitter.py
2022-07-08 19:50:14,881 : INFO : loading projection weights from C:\Users\nicfl/gensim-data\word2vec-google-news-300\word2vec-google-news-300.gz
2022-07-08 19:50:49,989 : INFO : KeyedVectors lifecycle event {'msg': 'loaded (3000000, 300) matrix of type float32 from C:\\Users\\nicfl/gensim-data\\word2vec-google-news-300\\word2vec-google-news-300.gz', 'binary': True, 'encoding': 'utf8', 'datetime': '2022-07-08T19:50:49.971903', 'gensim': '4.2.0', 'python': '3.10.5 (tags/v3.10.5:f377153, Jun  6 2022, 16:14:13) [MSC v.1929 64 bit (AMD64)]', 'platform': 'Windows-10-10.0.22000-SP0', 'event': 'load_word2vec_format'}
C:\Users\nicfl\Desktop\Project\main_clstm_twitter.py:63: UserWarning: The given NumPy array is not writable, and PyTorch does not support non-writable tensors. This means writing to this tensor will result in undefined behavior. You may want to copy the array to protect its data or make it writable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at  ..\torch\csrc\utils\tensor_numpy.cpp:178.)
  word2vec_vectors.append(torch.FloatTensor(w2v[token]))
C:\Users\nicfl\Desktop\Project\venv\lib\site-packages\torch\nn\modules\rnn.py:62: UserWarning: dropout option adds dropout after all but last recurrent layer, so non-zero dropout expects num_layers greater than 1, but got dropout=0.5 and num_layers=1
  warnings.warn("dropout option adds dropout after all but last "

## The 1/25 Epoch ! ##
| epoch   1 |   500/16000 batches | accuracy    0.348
| epoch   8 |  4500/16000 batches | accuracy    0.598
| epoch   8 |  5000/16000 batches | accuracy    0.668
| epoch   8 |  5500/16000 batches | accuracy    0.602
| epoch   8 |  6000/16000 batches | accuracy    0.644
| epoch   8 |  6500/16000 batches | accuracy    0.642
| epoch   8 |  7000/16000 batches | accuracy    0.666
| epoch   8 |  7500/16000 batches | accuracy    0.604
| epoch   8 |  8000/16000 batches | accuracy    0.594
| epoch   8 |  8500/16000 batches | accuracy    0.606
| epoch   8 |  9000/16000 batches | accuracy    0.602
| epoch   8 |  9500/16000 batches | accuracy    0.602
| epoch   8 | 10000/16000 batches | accuracy    0.610
| epoch   8 | 10500/16000 batches | accuracy    0.590
| epoch   8 | 11000/16000 batches | accuracy    0.596
| epoch   8 | 11500/16000 batches | accuracy    0.602
| epoch   8 | 12000/16000 batches | accuracy    0.640
| epoch   8 | 12500/16000 batches | accuracy    0.626
| epoch   8 | 13000/16000 batches | accuracy    0.578
| epoch   8 | 13500/16000 batches | accuracy    0.636
| epoch   8 | 14000/16000 batches | accuracy    0.626
| epoch   8 | 14500/16000 batches | accuracy    0.642
| epoch   8 | 15000/16000 batches | accuracy    0.594
| epoch   8 | 15500/16000 batches | accuracy    0.672
| epoch   8 | 16000/16000 batches | accuracy    0.644
-----------------------------------------------------------
| end of epoch   8 | time: 317.28s | train accuracy    0.622 
0.8440357914265167
-----------------------------------------------------------

## The 9/25 Epoch ! ##
| epoch   9 |   500/16000 batches | accuracy    0.646
| epoch   9 |  1000/16000 batches | accuracy    0.576
| epoch   9 |  1500/16000 batches | accuracy    0.638
| epoch   9 |  2000/16000 batches | accuracy    0.636
| epoch   9 |  2500/16000 batches | accuracy    0.620
| epoch   9 |  3000/16000 batches | accuracy    0.656
| epoch   9 |  3500/16000 batches | accuracy    0.632
| epoch   9 |  4000/16000 batches | accuracy    0.626
| epoch   9 |  4500/16000 batches | accuracy    0.648
| epoch   9 |  5000/16000 batches | accuracy    0.620
| epoch   9 |  5500/16000 batches | accuracy    0.594
| epoch   9 |  6000/16000 batches | accuracy    0.608
| epoch   9 |  6500/16000 batches | accuracy    0.638
| epoch   9 |  7000/16000 batches | accuracy    0.602
| epoch   9 |  7500/16000 batches | accuracy    0.674
| epoch   9 |  8000/16000 batches | accuracy    0.634
| epoch   9 |  8500/16000 batches | accuracy    0.646
| epoch   9 |  9000/16000 batches | accuracy    0.644
| epoch   9 |  9500/16000 batches | accuracy    0.620
| epoch   9 | 10000/16000 batches | accuracy    0.684
| epoch   9 | 10500/16000 batches | accuracy    0.638
| epoch   9 | 11000/16000 batches | accuracy    0.638
| epoch   9 | 11500/16000 batches | accuracy    0.634
| epoch   9 | 12000/16000 batches | accuracy    0.614
| epoch   9 | 12500/16000 batches | accuracy    0.656
| epoch   9 | 13000/16000 batches | accuracy    0.674
| epoch   9 | 13500/16000 batches | accuracy    0.592
| epoch   9 | 14000/16000 batches | accuracy    0.620
| epoch   9 | 14500/16000 batches | accuracy    0.646
| epoch   9 | 15000/16000 batches | accuracy    0.648
| epoch   9 | 15500/16000 batches | accuracy    0.606
| epoch   9 | 16000/16000 batches | accuracy    0.620
-----------------------------------------------------------
| end of epoch   9 | time: 306.77s | train accuracy    0.632 
0.8231320375576422
-----------------------------------------------------------

## The 10/25 Epoch ! ##
| epoch  10 |   500/16000 batches | accuracy    0.602
| epoch  10 |  1000/16000 batches | accuracy    0.600
| epoch  10 |  1500/16000 batches | accuracy    0.646
| epoch  10 |  2000/16000 batches | accuracy    0.610
| epoch  10 |  2500/16000 batches | accuracy    0.666
| epoch  10 |  3000/16000 batches | accuracy    0.632
| epoch  10 |  3500/16000 batches | accuracy    0.598
| epoch  10 |  4000/16000 batches | accuracy    0.614
| epoch  10 |  4500/16000 batches | accuracy    0.640
| epoch  10 |  5000/16000 batches | accuracy    0.626
| epoch  10 |  5500/16000 batches | accuracy    0.656
| epoch  10 |  6000/16000 batches | accuracy    0.654
| epoch  10 |  6500/16000 batches | accuracy    0.678
| epoch  10 |  7000/16000 batches | accuracy    0.616
| epoch  10 |  7500/16000 batches | accuracy    0.588
| epoch  10 |  8000/16000 batches | accuracy    0.602
| epoch  10 |  8500/16000 batches | accuracy    0.638
| epoch  10 |  9000/16000 batches | accuracy    0.666
| epoch  10 |  9500/16000 batches | accuracy    0.644
| epoch  10 | 10000/16000 batches | accuracy    0.640
| epoch  10 | 10500/16000 batches | accuracy    0.630
| epoch  10 | 11000/16000 batches | accuracy    0.642
| epoch  10 | 11500/16000 batches | accuracy    0.676
| epoch  10 | 12000/16000 batches | accuracy    0.598
| epoch  10 | 12500/16000 batches | accuracy    0.634
| epoch  10 | 13000/16000 batches | accuracy    0.638
| epoch  10 | 13500/16000 batches | accuracy    0.672
| epoch  10 | 14000/16000 batches | accuracy    0.644
| epoch  10 | 14500/16000 batches | accuracy    0.640
| epoch  10 | 15000/16000 batches | accuracy    0.620
| epoch  10 | 15500/16000 batches | accuracy    0.610
| epoch  10 | 16000/16000 batches | accuracy    0.592
-----------------------------------------------------------
| end of epoch  10 | time: 303.83s | train accuracy    0.632 
0.8184578462253341
-----------------------------------------------------------

## The 11/25 Epoch ! ##
| epoch  11 |   500/16000 batches | accuracy    0.666
| epoch  11 |  1000/16000 batches | accuracy    0.640
| epoch  11 |  1500/16000 batches | accuracy    0.608
| epoch  11 |  2000/16000 batches | accuracy    0.660
| epoch  11 |  2500/16000 batches | accuracy    0.650
| epoch  11 |  3000/16000 batches | accuracy    0.678
| epoch  11 |  3500/16000 batches | accuracy    0.610
| epoch  11 |  4000/16000 batches | accuracy    0.606
| epoch  11 |  4500/16000 batches | accuracy    0.622
| epoch  11 |  5000/16000 batches | accuracy    0.646
| epoch  11 |  5500/16000 batches | accuracy    0.624
| epoch  11 |  6000/16000 batches | accuracy    0.618
| epoch  11 |  6500/16000 batches | accuracy    0.654
| epoch  11 |  7000/16000 batches | accuracy    0.646
| epoch  11 |  7500/16000 batches | accuracy    0.636
| epoch  11 |  8000/16000 batches | accuracy    0.632
| epoch  11 |  8500/16000 batches | accuracy    0.640
| epoch  11 |  9000/16000 batches | accuracy    0.624
| epoch  11 |  9500/16000 batches | accuracy    0.610
| epoch  11 | 10000/16000 batches | accuracy    0.602
| epoch  11 | 10500/16000 batches | accuracy    0.628
| epoch  11 | 11000/16000 batches | accuracy    0.626
| epoch  11 | 11500/16000 batches | accuracy    0.644
| epoch  11 | 12000/16000 batches | accuracy    0.630
| epoch  11 | 12500/16000 batches | accuracy    0.624
| epoch  11 | 13000/16000 batches | accuracy    0.654
| epoch  11 | 13500/16000 batches | accuracy    0.644
| epoch  11 | 14000/16000 batches | accuracy    0.662
| epoch  11 | 14500/16000 batches | accuracy    0.616
| epoch  11 | 15000/16000 batches | accuracy    0.640
| epoch  11 | 15500/16000 batches | accuracy    0.614
| epoch  11 | 16000/16000 batches | accuracy    0.628
-----------------------------------------------------------
| end of epoch  11 | time: 302.19s | train accuracy    0.634 
0.8215158812079967
-----------------------------------------------------------

## The 12/25 Epoch ! ##
| epoch  12 |   500/16000 batches | accuracy    0.596
| epoch  12 |  1000/16000 batches | accuracy    0.648
| epoch  12 |  1500/16000 batches | accuracy    0.618
| epoch  12 |  2000/16000 batches | accuracy    0.616
| epoch  12 |  2500/16000 batches | accuracy    0.602
| epoch  12 |  3000/16000 batches | accuracy    0.586
| epoch  12 |  3500/16000 batches | accuracy    0.628
| epoch  12 |  4000/16000 batches | accuracy    0.652
| epoch  12 |  4500/16000 batches | accuracy    0.628
| epoch  12 |  5000/16000 batches | accuracy    0.642
| epoch  12 |  5500/16000 batches | accuracy    0.632
| epoch  12 |  6000/16000 batches | accuracy    0.634
| epoch  12 |  6500/16000 batches | accuracy    0.634
| epoch  12 |  7000/16000 batches | accuracy    0.610
| epoch  12 |  7500/16000 batches | accuracy    0.652
| epoch  12 |  8000/16000 batches | accuracy    0.662
| epoch  12 |  8500/16000 batches | accuracy    0.642
| epoch  12 |  9000/16000 batches | accuracy    0.612
| epoch  12 |  9500/16000 batches | accuracy    0.646
| epoch  12 | 10000/16000 batches | accuracy    0.626
| epoch  12 | 10500/16000 batches | accuracy    0.628
| epoch  12 | 11000/16000 batches | accuracy    0.658
| epoch  12 | 11500/16000 batches | accuracy    0.602
| epoch  12 | 12000/16000 batches | accuracy    0.616
| epoch  12 | 12500/16000 batches | accuracy    0.620
| epoch  12 | 13000/16000 batches | accuracy    0.630
| epoch  12 | 13500/16000 batches | accuracy    0.626
| epoch  12 | 14000/16000 batches | accuracy    0.650
| epoch  12 | 14500/16000 batches | accuracy    0.640
| epoch  12 | 15000/16000 batches | accuracy    0.628
| epoch  12 | 15500/16000 batches | accuracy    0.622
| epoch  12 | 16000/16000 batches | accuracy    0.630
-----------------------------------------------------------
| end of epoch  12 | time: 306.65s | train accuracy    0.629 
0.8202639392587193
-----------------------------------------------------------

## The 13/25 Epoch ! ##
| epoch  13 |   500/16000 batches | accuracy    0.642
| epoch  13 |  1000/16000 batches | accuracy    0.604
| epoch  13 |  1500/16000 batches | accuracy    0.640
| epoch  13 |  2000/16000 batches | accuracy    0.630
| epoch  13 |  2500/16000 batches | accuracy    0.602
| epoch  13 |  3000/16000 batches | accuracy    0.628
| epoch  13 |  3500/16000 batches | accuracy    0.644
| epoch  13 |  4000/16000 batches | accuracy    0.624
| epoch  13 |  4500/16000 batches | accuracy    0.620
| epoch  13 |  5000/16000 batches | accuracy    0.644
| epoch  13 |  5500/16000 batches | accuracy    0.650
| epoch  13 |  6000/16000 batches | accuracy    0.626
| epoch  13 |  6500/16000 batches | accuracy    0.640
| epoch  13 |  7000/16000 batches | accuracy    0.656
| epoch  13 |  7500/16000 batches | accuracy    0.594
| epoch  13 |  8000/16000 batches | accuracy    0.668
| epoch  13 |  8500/16000 batches | accuracy    0.644
| epoch  13 |  9000/16000 batches | accuracy    0.630
| epoch  13 |  9500/16000 batches | accuracy    0.660
| epoch  13 | 10000/16000 batches | accuracy    0.640
| epoch  13 | 10500/16000 batches | accuracy    0.650
| epoch  13 | 11000/16000 batches | accuracy    0.626
| epoch  13 | 11500/16000 batches | accuracy    0.588
| epoch  13 | 12000/16000 batches | accuracy    0.588
| epoch  13 | 12500/16000 batches | accuracy    0.606
| epoch  13 | 13000/16000 batches | accuracy    0.620
| epoch  13 | 13500/16000 batches | accuracy    0.642
| epoch  13 | 14000/16000 batches | accuracy    0.636
| epoch  13 | 14500/16000 batches | accuracy    0.672
| epoch  13 | 15000/16000 batches | accuracy    0.612
| epoch  13 | 15500/16000 batches | accuracy    0.626
| epoch  13 | 16000/16000 batches | accuracy    0.624
-----------------------------------------------------------
| end of epoch  13 | time: 306.47s | train accuracy    0.630 
0.8195843605584896
-----------------------------------------------------------

## The 14/25 Epoch ! ##
| epoch  14 |   500/16000 batches | accuracy    0.608
| epoch  14 |  1000/16000 batches | accuracy    0.672
| epoch  14 |  1500/16000 batches | accuracy    0.620
| epoch  14 |  2000/16000 batches | accuracy    0.616
| epoch  14 |  2500/16000 batches | accuracy    0.588
| epoch  14 |  3000/16000 batches | accuracy    0.620
| epoch  14 |  3500/16000 batches | accuracy    0.664
| epoch  14 |  4000/16000 batches | accuracy    0.644
